TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,494,514,612.0,1,0,0,0,0,0,0,0,0,0
1,495,512,611.0,1,0,0,0,0,0,0,0,0,0
2,497,512,611.0,1,0,0,0,0,0,0,0,0,0
3,498,514,612.0,1,0,0,0,0,0,0,0,0,0
4,499,514,612.0,1,0,0,0,0,0,0,0,0,0
5,499,510,612.0,1,0,0,0,0,0,0,0,0,0
6,500,507,612.0,1,0,0,0,0,0,0,0,0,0
7,501,515,612.0,1,0,0,0,0,0,0,0,0,0
8,502,520,612.0,1,0,0,0,0,0,0,0,0,0
9,503,516,612.0,1,0,0,0,0,0,0,0,0,0
10,504,513,611.0,1,0,0,0,0,0,0,0,0,0
11,504,517,612.0,1,0,0,0,0,0,0,0,0,0
12,503,515,612.0,1,0,0,0,0,0,0,0,0,0
13,504,516,611.0,1,0,0,0,0,0,0,0,0,0
14,506,517,612.0,1,0,0,0,0,0,0,0,0,0
15,507,517,612.0,1,0,0,0,0,0,0,0,0,0
16,508,516,612.0,1,0,0,0,0,0,0,0,0,0
17,508,514,612.0,1,0,0,0,0,0,0,0,0,0
18,508,513,612.0,1,0,0,0,0,0,0,0,0,0
19,507,511,612.0,1,0,0,0,0,0,0,0,0,0
20,508,509,612.0,1,0,0,0,0,0,0,0,0,0
21,508,508,612.0,1,0,0,0,0,0,0,0,0,0
22,508,508,612.0,1,0,0,0,0,0,0,0,0,0
23,508,506,611.0,1,0,0,0,0,0,0,0,0,0
24,507,506,611.0,1,0,0,0,0,0,0,0,0,0
25,507,505,612.0,1,0,0,0,0,0,0,0,0,0
26,507,507,612.0,1,0,0,0,0,0,0,0,0,0
27,507,506,611.0,1,0,0,0,0,0,0,0,0,0
28,507,504,611.0,1,0,0,0,0,0,0,0,0,0
29,506,505,611.0,1,0,0,0,0,0,0,0,0,0
30,506,506,611.0,1,0,0,0,0,0,0,0,0,0
31,506,515,611.0,1,0,0,0,0,0,0,0,0,0
32,505,522,612.0,1,0,0,0,0,0,0,0,0,0
33,505,518,611.0,1,0,0,0,0,0,0,0,0,0
34,505,514,611.0,1,0,0,0,0,0,0,0,0,0
35,505,514,611.0,1,0,0,0,0,0,0,0,0,0
36,505,515,612.0,1,0,0,0,0,0,0,0,0,0
37,505,514,611.0,1,0,0,0,0,0,0,0,0,0
38,506,512,611.0,1,0,0,0,0,0,0,0,0,0
39,504,512,611.0,1,0,0,0,0,0,0,0,0,0
40,504,511,611.0,1,0,0,0,0,0,0,0,0,0
41,505,509,611.0,1,0,0,0,0,0,0,0,0,0
42,505,508,611.0,1,0,0,0,0,0,0,0,0,0
