TimeStamp,ECG Data,EMG Data,EDA Data,label

0,478,500,649,1

1,481,512,649,1

2,483,501,649,1

3,485,512,649,1

4,487,505,649,1

5,492,507,649,1

6,496,502,649,1

7,499,505,649,1

8,502,499,649,1

9,502,511,649,1

10,504,508,649,1

11,504,504,649,1

12,503,507,649,1

13,504,508,649,1

14,504,507,649,1

15,505,508,649,1

16,503,505,649,1

17,504,509,649,1

18,504,506,649,1

19,506,512,649,1

20,505,506,649,1

21,506,509,649,1

22,506,501,649,1

23,508,505,649,1

24,507,502,649,1

25,509,514,649,1

26,506,505,649,1

27,508,504,649,1

28,510,507,649,1

29,509,510,649,1

30,517,511,649,1

31,515,507,649,1

32,511,506,649,1

33,509,508,649,1

34,505,511,649,1

35,503,505,649,1

36,505,507,649,1

37,506,508,649,1

38,507,506,649,1

39,508,510,649,1

40,507,506,649,1

41,519,502,649,1

42,561,508,649,1

43,597,535,649,1

44,502,524,649,1

45,475,515,649,1

46,491,502,649,1

47,497,499,649,1

48,499,504,649,1

49,501,505,649,1

50,504,503,649,1

51,506,502,649,1

52,507,501,649,1

53,508,512,649,1

54,510,505,649,1

55,512,499,649,1

56,513,507,649,1

57,515,514,649,1

58,518,504,649,1

59,520,502,649,1

60,524,512,649,1

61,527,513,649,1

62,531,505,649,1

63,535,508,649,1

64,536,515,649,1

65,534,504,649,1

66,529,511,649,1

67,522,505,649,1

68,510,511,649,1

69,498,502,649,1

70,489,510,649,1

71,483,504,649,1

72,481,507,649,1

73,481,503,649,1

74,483,512,649,1

75,485,503,649,1

76,488,509,649,1

77,492,503,649,1

78,495,510,649,1

79,498,504,649,1

80,498,508,649,1

81,501,506,649,1

82,502,509,649,1

83,501,504,649,1

84,502,505,649,1

85,503,507,649,1

86,503,504,649,1

87,504,515,649,1

88,504,512,649,1

89,505,508,650,1

90,503,504,650,1

91,504,507,650,1

92,505,500,650,1

93,505,510,650,1

94,507,511,650,1

95,506,507,650,1

96,507,508,649,1

97,508,509,650,1

98,508,509,650,1

99,509,512,650,1

100,507,504,650,1

101,507,508,650,1

102,508,507,650,1

103,508,515,650,1

104,509,510,650,1

105,509,508,650,1

106,509,512,650,1

107,509,505,650,1

108,509,502,650,1

109,509,506,650,1

110,510,510,650,1

111,511,513,650,1

112,513,510,650,1

113,516,514,650,1

114,514,511,650,1

115,512,507,650,1

116,511,510,650,1

117,505,503,650,1

118,504,507,650,1

119,505,511,650,1

120,506,509,650,1

121,506,504,650,1

122,505,506,650,1

123,512,506,650,1

124,541,509,650,1

125,598,527,650,1

126,538,528,650,1

127,475,519,650,1

128,488,512,650,1

129,497,502,650,1

130,499,498,650,1

131,500,503,650,1

132,503,505,650,1

133,504,509,650,1

134,506,506,650,1

135,507,504,650,1

136,509,505,650,1

137,511,507,650,1

138,512,499,650,1

139,515,510,650,1

140,517,512,650,1

141,520,508,650,1

142,524,507,650,1

143,524,506,650,1

144,529,512,650,1

145,531,507,650,1

146,534,514,650,1

147,533,505,650,1

148,532,506,650,1

149,526,516,650,1

150,517,507,650,1

151,505,511,650,1

152,493,507,650,1

153,486,509,650,1

154,482,505,650,1

155,481,503,650,1

156,481,505,650,1

157,486,506,650,1

158,489,509,650,1

159,490,507,650,1

160,492,508,650,1

161,495,509,650,1

162,497,509,650,1

163,498,508,650,1

164,500,507,650,1

165,500,509,650,1

166,503,501,650,1

167,502,515,650,1

168,503,505,650,1

169,501,509,650,1

170,503,506,650,1

171,504,508,650,1

172,504,503,650,1

173,504,508,650,1

174,505,501,650,1

175,505,516,650,1

176,505,507,650,1

177,505,505,650,1

